date, pm25, pm10, o3, no2, so2, co
2019/3/27, 171, 275, 27, 20, 12, 11
2019/3/28, 219, 236, 15, 20, 11, 10
2019/3/29, 186, 208, 28, 19, 9, 10
2019/3/30, 175, 241, 39, 13, 10, 6
2019/3/31, 155, 187, 54, 15, 10, 6
2018/10/1, 158, 146, 22, 14, 14, 9
2018/10/2, 157, 186, 25, 16, 11, 9
2018/10/3, 151, 259, 45, 19, 10, 12
2018/10/4, 191, 365, 26, 21, 10, 14
2018/10/5, 267, 239, 14, 18, 12, 10
2018/10/6, 169, 188, 26, 15, 10, 9
2018/10/7, 170, 251, 34, 22, 14, 11
2018/10/8, 194, 249, 64, 30, 10, 15
2018/10/9, 191, 203, 23, 26, 9, 13
2018/10/10, 176, 171, 17, 19, 12, 9
2018/10/11, 151, 179, 23, 16, 10, 7
2018/10/12, 163, 264, 22, 18, 10, 10
2018/10/13, 214, 254, 24, 17, 12, 11
2018/10/14, 201, 226, 22, 20, 11, 10
2018/10/15, 192, 491, 16, 35, 12, 22
2018/10/16, 280, 379, 8, 25, 11, 16
2018/10/17, 231, 481, 46, 31, 10, 23
2018/10/18, 257, 272, 67, 21, 9, 11
2018/10/19, 210, 372, 37, 19, 10, 11
2018/10/20, 257, 284, 38, 19, 9, 12
2018/10/21, 216, 375, 44, 23, 8, 12
2018/10/22, 215, 340, 44, 24, 10, 11
2018/10/23, 212, 581, 74, 39, 13, 21
2018/10/24, 291, 515, 44, 35, 12, 20
2018/10/25, 285, 547, 28, 31, 11, 20
2018/10/26, 295, 573, 45, 37, 9, 25
2018/10/27, 337, 464, 38, 29, 7, 18
2018/10/28, 331, 516, 39, 31, 14, 19
2018/10/29, 348, 470, 45, 32, 14, 20
2018/10/30, 349, 583, 45, 36, 14, 26
2018/10/31, 375, 569, 56, 42, 13, 29
2018/11/1, 388, 287, 67, 43, 12, 17
2018/11/2, 273, 227, 34, 34, 13, 14
2018/11/3, 240, 124, 44, 13, 10, 7
2018/11/4, 179, 433, 30, 19, 11, 15
2018/11/5, 405, 317, 38, 14, 10, 10
2018/11/6, 282, 238, 46, 18, 14, 9
2018/11/7, 257, 497, 27, 23, 20, 15
2018/11/8, 465, 342, 36, 25, 11, 18
2018/11/9, 352, 450, 35, 39, 12, 29
2018/11/10, 403, 507, 30, 37, 12, 33
2018/11/11, 403, 524, 38, 38, 15, 25
2018/11/12, 405, 437, 11, 47, 14, 31
2018/11/13, 367, 149, 12, 33, 12, 14
2018/11/14, 203, 128, 15, 21, 10, 11
2018/11/15, 194, 192, 23, 16, 11, 10
2018/11/16, 250, 240, 19, 22, 10, 11
2018/11/17, 223, 294, 22, 24, 11, 15
2018/11/18, 270, 253, 20, 24, 11, 14
2018/11/19, 247, 413, 15, 35, 10, 17
2018/11/20, 332, 369, 15, 109, 13, 14
2018/11/21, 326, 295, 19, 97, 15, 16
2018/11/22, 233, 383, 4, 30, 17, 16
2018/11/23, 313, 208, 16, 22, 12, 10
2018/11/24, 203, 226, 29, 25, 10, 12
2018/11/25, 228, 406, 31, 31, 13, 19
2018/11/26, 346, 480, 19, 43, 8, 27
2018/11/27, 356, 426, 16, 37, 9, 26
2018/11/28, 307, 425, 15, 28, 9, 18
2018/11/29, 343, 356, 16, 27, 9, 15
2018/11/30, 309, 274, 20, 24, 10, 16
2018/12/1, 263, 303, 23, 24, 11, 15
2018/12/2, 248, 343, 13, 24, 11, 16
2018/12/3, 277, 447, 9, 28, 9, 20
2018/12/4, 345, 434, 10, 23, 10, 16
2018/12/5, 311, 496, 25, 18, 10, 21
2018/12/6, 340, 378, 19, 9, 9, 15
2018/12/7, 288, 395, 17, 9, 10, 16
2018/12/8, 289, 439, 8, 10, 11, 23
2018/12/9, 308, 443, 16, 12, 10, 27
2018/12/10, 322, 420, 7, 14, 9, 23
2018/12/11, 279, 298, 35, 11, 8, 19
2018/12/12, 239, 128, 4, 7, 8, 8
2018/12/13, 165, 170, 27, 6, 8, 9
2018/12/14, 182, 184, 47, 7, 8, 9
2018/12/15, 186, 230, 56, 7, 10, 9
2018/12/16, 214, 445, 24, 17, 11, 15
2018/12/17, 318, 464, 32, 27, 13, 16
2018/12/18, 360, 347, 31, 28, 13, 14
2018/12/19, 294, 459, 34, 28, 13, 20
2018/12/20, 375, 412, 28, 27, 13, 18
2018/12/21, 365, 524, 41, 33, 13, 26
2018/12/22, 414, 711, 29, 40, 13, 50
2018/12/23, 574, 689, 21, 32, 13, 32
2018/12/24, 514, 421, 22, 23, 12, 17
2018/12/25, 381, 441, 27, 27, 14, 24
2018/12/26, 386, 705, 24, 30, 13, 43
2018/12/27, 570, 432, 27, 22, 12, 18
2018/12/28, 384, 512, 27, 25, 13, 21
2018/12/29, 381, 516, 21, 26, 16, 25
2018/12/30, 437, , , , , 
2018/7/1, 59, 89, 13, 9, 9, 6
2018/7/2, 69, 91, 27, 14, 10, 8
2018/7/3, 96, 96, 21, 11, 9, 7
2018/7/4, 111, 110, 11, 10, 10, 7
2018/7/5, 103, 127, 28, 7, 9, 6
2018/7/6, 117, 189, 33, 11, 6, 8
2018/7/7, 156, 227, 31, 16, 8, 10
2018/7/8, 150, 129, 37, 16, 11, 12
2018/7/9, 160, 96, 20, 12, 9, 8
2018/7/10, 122, 88, 9, 11, 10, 8
2018/7/11, 108, 93, 15, 11, 7, 8
2018/7/12, 100, 55, 4, 13, 3, 9
2018/7/13, 80, 64, 6, 14, 11, 9
2018/7/14, 105, 71, 11, 12, 6, 9
2018/7/15, 93, 71, 2, 12, 5, 8
2018/7/16, 81, 116, 10, 12, 11, 11
2018/7/17, 106, 91, 11, 12, 9, 9
2018/7/18, 104, 81, 13, 11, 11, 7
2018/7/19, 100, 72, 4, 11, 11, 7
2018/7/20, 106, 78, 4, 16, 12, 10
2018/7/21, 107, 44, 5, 10, 11, 9
2018/7/22, 69, 69, 5, 12, 9, 9
2018/7/23, 87, 104, 7, 11, 8, 9
2018/7/24, 127, 74, 3, 9, 4, 7
2018/7/25, 78, 39, 3, 7, 7, 6
2018/7/26, 60, 22, 3, 5, 7, 6
2018/7/27, 41, 56, 5, 7, 7, 7
2018/7/28, 77, , , , , 
2018/7/30, 86, 155, 9, 8, 6, 9
2018/7/31, 114, 150, 9, 11, 5, 7
2018/8/1, 118, 243, 6, 9, 5, 7
2018/8/2, 143, 256, 4, 9, 5, 6
2018/8/3, 144, 272, 5, 9, 5, 6
2018/8/4, 144, 197, 2, 8, 4, 6
2018/8/5, 135, 96, 2, 11, 5, 8
2018/8/6, 120, 104, 4, 11, 7, 8
2018/8/7, 126, 69, 3, 10, 6, 8
2018/8/8, 105, 87, 9, 11, 3, 7
2018/8/9, 94, 144, 3, 14, 5, 10
2018/8/10, 129, 94, 3, 9, 6, 6
2018/8/11, 81, 77, 4, 9, 5, 6
2018/8/12, 69, 89, 6, 10, 6, 7
2018/8/13, 79, 115, 6, 12, 7, 8
2018/8/14, 123, 95, 8, 10, 6, 7
2018/8/15, 107, 80, 15, 14, 5, 10
2018/8/16, 111, 128, 1, 9, 5, 7
2018/8/17, 106, 76, , 12, 6, 9
2018/8/18, 97, 66, , 9, 7, 8
2018/8/19, 102, 111, 1, 12, 5, 9
2018/8/20, 141, 79, 1, 13, 9, 8
2018/8/21, 89, 61, 1, 13, 10, 12
2018/8/22, 80, 68, 5, 9, 10, 8
2018/8/23, 84, 105, 10, 8, 11, 6
2018/8/24, 67, 128, 10, 6, 18, 6
2018/8/25, 59, , , , , 
2018/8/27, 83, 48, 4, 10, 7, 9
2018/8/28, 75, 55, 3, 13, 6, 8
2018/8/29, 76, 94, 3, 12, 7, 10
2018/8/30, 97, 144, 1, 11, 7, 9
2018/8/31, 113, 110, 1, 15, 8, 10
2018/9/1, 115, 65, 1, 10, 10, 9
2018/9/2, 95, 57, 1, 12, 5, 11
2018/9/3, 107, 88, 2, 14, 6, 15
2018/9/4, 138, 89, 2, 11, 6, 8
2018/9/5, 98, 96, 2, 9, 7, 8
2018/9/6, 95, 59, 2, 14, 8, 9
2018/9/7, 79, 59, 2, 10, 9, 8
2018/9/8, 83, 52, 2, 10, 11, 7
2018/9/9, 65, 86, 2, 14, 7, 8
2018/9/10, 101, 87, 3, 8, 7, 7
2018/9/11, 72, 114, 14, 8, 8, 6
2018/9/12, 72, 95, 14, 7, 13, 6
2018/9/13, 62, 119, 21, 8, 7, 6
2018/9/14, 85, 163, 22, 10, 9, 7
2018/9/15, 113, 124, 23, 9, 8, 6
2018/9/16, 118, 145, 35, 10, 8, 8
2018/9/17, 145, 148, 36, 11, 9, 8
2018/9/18, 149, 182, 40, 13, 8, 9
2018/9/19, 153, 170, 51, 15, 14, 10
2018/9/20, 163, 104, 18, 16, 9, 8
2018/9/21, 108, 36, 8, 11, 8, 7
2018/9/22, 63, 54, 12, 11, 13, 7
2018/9/23, 90, 27, 10, 9, 12, 7
2018/9/24, 53, 39, 15, 5, 13, 7
2018/9/25, 57, 110, 26, 10, 12, 9
2018/9/26, 117, 207, 30, 14, 16, 12
2018/9/27, 157, 282, 27, 17, 13, 15
2018/9/28, 168, 287, 38, 16, 9, 13
2018/9/29, 176, 140, 28, 11, 11, 10
2018/9/30, 155, 188, 28, 14, 10, 10
2018/6/3, 145, 136, 17, 15, 6, 8
2018/6/4, 143, 113, 13, 15, 3, 8
2018/6/5, 125, 133, 8, 13, 5, 9
2018/6/6, 139, 171, 8, 19, 7, 11
2018/6/7, 160, 165, 5, 14, 5, 9
2018/6/8, 158, 98, 3, 14, 7, 8
2018/6/9, 134, 122, 4, 17, 8, 8
2018/6/10, 152, 212, 6, 16, 6, 11
2018/6/11, 157, 621, 1, 17, 9, 8
2018/6/12, 250, 966, 4, 11, 5, 7
2018/6/13, 264, 893, 13, 10, 8, 4
2018/6/14, 241, 678, 19, 11, 7, 6
2018/6/15, 187, 511, 17, 12, 8, 6
2018/6/16, 168, 256, 17, 9, 7, 6
2018/6/17, 153, 131, 1, 9, 5, 6
2018/6/18, 128, 146, 1, 10, 6, 7
2018/6/19, 138, 176, 1, 11, 7, 8
2018/6/20, 154, 281, 1, 10, 3, 7
2018/6/21, 149, 170, 1, 16, 4, 8
2018/6/22, 149, 265, 1, 19, 4, 11
2018/6/23, 182, 210, 1, 10, 6, 7
2018/6/24, 157, 317, 1, 12, 7, 6
2018/6/25, 155, 190, 1, 10, 7, 6
2018/6/26, 133, 87, 2, 19, 5, 8
2018/6/27, 116, 44, 3, 25, 11, 8
2018/6/28, 60, 68, 6, 13, 11, 8
2018/6/29, 93, 79, 5, 16, 11, 9
2018/6/30, 105, 61, 6, 9, 8, 7
2022/1/19, , 311, 18, 29, 5, 23
2021/1/3, , 131, 5, 30, 4, 13
2021/1/27, , 307, 22, 18, 8, 27
2021/3/29, , 999, 26, 6, 6, 3
2020/9/8, , 92, 5, 9, 11, 10
2020/4/21, , 98, 27, 12, 7, 7
2020/4/29, , 87, 43, 9, 10, 7
2019/12/31, , 494, , 18, 7, 37
2019/12/16, , 108, 10, 11, 6, 9
2019/6/10, , 685, 14, 7, 8, 12
2018/12/31, , 448, 24, 28, 14, 25
2019/3/24, , 133, 13, 12, 8, 7
2018/7/29, , 101, 7, 6, 8, 7
2018/8/26, , 97, 7, 11, 7, 9
2018/6/2, , 115, 17, 17, 5, 8
2020/9/6, , , , 22, 2, 10
